reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A00625243BI8W1SSZNLMD,B000A6GTDG,jespi59jr,"[0, 0]",A friend of my has one and I just found in love with it. Great sound! Beautiful color! The Applause exceeds my expectation whether it is unplugged or amplified.,5.0,Great soud,1353024000,"11 16, 2012"
A102MU6ZC9H1N6,B0002CZUUG,"Teresa Halbert ""Terri""","[1, 2]","Wow, you would have thought this was the Holy Grail when it arrived at my house.  My son practically ran to the UPS man when the truck pulled up.  He is thrilled with this guitar.  Great purchase.",5.0,"Epiphone LP Special II Les Paul Electric Guitar, Vintage Sunburst",1364256000,"03 26, 2013"
A102MU6ZC9H1N6,B0002M6CVC,"Teresa Halbert ""Terri""","[0, 1]",This was a much needed purchase because my son being a new musician is going through the guitar strings.  He found just what he needed and at a great price.,5.0,Ernie Ball Regular Slinky String Set,1364256000,"03 26, 2013"
A10E3QH2FQUBLF,B0009K9MUA,Jorge Marin,"[0, 0]","fits just fine,I have two electric guitars and one bass, nothing can take it down ,you will see it recommended !",5.0,Hercules !,1364860800,"04 2, 2013"
A10FM4ILBIMJJ7,B0006NDF6C,Sim,"[0, 0]","From the other reviews I wasn't sure what to expect but this is a nice stand for the money. I use it and my granddaughter uses it as well. It is sturdy, easy to fold away and easy to setup. The leg spread can be adjusted for space if necessary. I highly recommend it if you are looking for a good valued stand.",4.0,A nice stand for the price.,1382140800,"10 19, 2013"
A10H2F00ZOT8S2,B0002GOJZO,Mike C,"[0, 0]","I absolutely LOVE these picks. Grips really well in your hand, plays like a dream. I just wish more came in the pack. I would HIGHLY recommend these to anyone if they want some great picks.",5.0,Love the design and how it plays!,1362873600,"03 10, 2013"
A110ZEDSNASVCO,B0002GOK08,"Brother MOLOCH 969 ""MolochSorcery.com""","[0, 0]","I collect picks (or plectrums if you're a purist) and I do so for a good reason: I don't use the same pick for the same sort of playing style. I tend to use some picks for jazz; some for blues; some for metal and so on. Not all picks are made the same & some are far better than others.The Dava Master Control Pick (DMCP) is a very nice & useful pick. I've been enjoying it for heavy strumming (or as the metalheads call it, ""chuggin'""). I like its thin center and the way it is overall contoured which makes holding it a delight to my forefinger & thumb.Another thing I really like about it is the metal tip which some folks may not enjoy as it does give a bit of a metallic tone when it touches the strings. This is especially true when you've just replaced your old guitar's strings for new ones. Depends on how you like it or not whether you like that metallic ting - I do for certain passages.The pick's construction seems to be fairly rigid & yet it has potential to do more than merely chug again on the low E & A strings. DMCP is definitely a plectrum that I will be using a lot of in the future and not just for hard core metal but also for subtle tones in jazz passages with the distortion off.Overall I give the DMCP 5 out of 5 stars for being what it claimed it was and for being something that I will find great utility for in years to come.",5.0,NICE Pick for Stringed Instruments,1337558400,"05 21, 2012"
A110ZEDSNASVCO,B000KIRT6A,"Brother MOLOCH 969 ""MolochSorcery.com""","[1, 1]","I got this in the mail today and plugged it into my pedal board just prior to the amp. Like the other reviewers on here, I'm sad to report that it's quite 'hissy'. I had hoped that it would not be a hissing type of pedal but it is. I'm using a Line 6 Uber Metal, Boss Metal Zone, Ibanez LA Metal & Boss Compressor/Sustainer with my SKB pedal board. The board itself is not noisy at all with any of the other pedal cranked up BUT when I put the EQ700 in with the others, there's a noticeable hiss though not so much at low volume but when you crank the amp (I'm using a Peavey Special 212 Transtube combo) above 4, you can definitely hear the hiss. Not sure if a noise gate pedal would reduce this but I'm going to give the Danaelectro Fish & Chips (as recommended by another reviewer) a try.I'm waiting on the Behringer Orchestra Chorus pedal to arrive and HOPING it isn't hissy like the EQ700 is.I will say though I do like the tone influence this pedal has. It does a nice job of altering the tone & gives my rig a greater flexibility for sounds.Overall I give this pedal a 3 out of 5 stars.",3.0,It's....Okay,1298505600,"02 24, 2011"
A118PM0B1PGWDA,B0002H0N76,Papa,"[0, 0]","Nothing sounds as bright as these strings. I've tried many, and these are the best by far. I know, cause I play'em geetar real good-like.",5.0,the only string I use,1382486400,"10 23, 2013"
A11INIL2YFJ137,B0002CZVXM,Chris,"[1, 2]","Great product, I've use them before and have always thought they were top quality.  They aren't much larger than the originals that came with the guitar and that extra piece of mind is great!  Easy installation without any modification (at least on mine) and they connect/hold very solid.  Just make sure the buttons are all the way in or you could have mishap ;)",5.0,Love em,1385942400,"12 2, 2013"
A120FZ2ESIMA63,B0002IHFVM,Dan,"[0, 0]","If all you're looking for is an inexpensive way to hang your guitar, until you can afford a good quality leather strap, this is it. The quality and function of the strap is actually better than I expected, for the amount paid.",5.0,Excellent bargain!,1388793600,"01 4, 2014"
A127K5WGHNUUH3,B0002D0CQC,"Debon Panton ""Debon""","[0, 0]",I really love this. Tends to be very linty with time but it is still a very good product. Recommended.,5.0,Fantastic,1367798400,"05 6, 2013"
A136M3QYHUVN9A,B0002CZVWS,"Ralph Martin Smith ""Marty""","[0, 0]",I use this capo all the time on both instruments. A friend of mine saw it and asked me to order them one also. I did and they love it!,5.0,"Kyser Banl, Mandolin Capo",1320796800,"11 9, 2011"
A13IKQCJKFAP5S,B0002GLDQM,applegd07,"[0, 0]",This pick holder works for me. It holds a number of picks well and easily discharges when needed. It fits my Jasmine well. Buy it from GO-DPS since they have one of the best customer service and quality products!,5.0,Good pick holder,1358726400,"01 21, 2013"
A13IKQCJKFAP5S,B0002KZAKS,applegd07,"[0, 0]",this is the best mic for its quality and its price. perhaps on par with other brands but very much affordable.i will buy another one of this.,5.0,perfect mic!,1380931200,"10 5, 2013"
A13NWJUMVNS6YZ,B000K69V5E,Coffee Drinker,"[4, 4]","I play an amplified upright acoustic bass and an electric upright solid-body bass. I bought this Jim Dunlop MC401 MXR because I have a few bass solos that can't be heard above the other players unless I boost volume, which was hard to do by reaching for the volume knob on my preamp or amp with my hand. This stomp box lets me instantly add a pre-selected amount of volume boost only--no goofy effects, no hum, no extraneous sounds at all. Of course, when the solo is over, another click with my foot drops the boost. This thing sounds completely transparent when it's off, and completely natural when it's on. For my purposes, a boost of five decibels out of the 20 that this device permits seems to be enough. Naturally, you have to have left some head room available in your amp otherwise you won't hear any volume change or you'll get distortion or both, but that should be obvious--it's just like turning your amp up, except with your foot.The MC401 runs on a 9-volt battery, but I also separately ordered the Dunlop ECB003 AC adapter, which is also available at Amazon. I checked the Jim Dunlop website and in its FACs it specifically recommends staying with the same voltage adapter, so I did not order the ECB004, which is an 18-volt model. The ECB003 adapter works perfectly and seems completely silent.The MC401 is compacl, but it's heavily-constructed so it stays put. The stomp switch itself appears to be made of good steel, as is the case itself. Everything is solid as a rock. I don't see how it could be better. Perfect.",5.0,Solid construction; works absolutely perfectly.,1344988800,"08 15, 2012"
A13T4T3QOSII3I,B0002E1G5C,Playgolfandtennis,"[0, 0]","This product works well, but I still end up doing it the old fashion way.  Guess I am not a gimmick person.  :-)",5.0,Works well,1359504000,"01 30, 2013"
A14BICJ93WO926,B0002H0A3S,Adam H,"[0, 0]","I was an Ernie Ball guy for a long time. But I was getting pissed because the Ernies kept corroding so quickly. So I tried these, and they seem to hold up better. There are coated strings that will last longer, but I don't like spending so much on strings. And of course, they sound excellent too. Stock up!!",5.0,The Best (for cheaper strings),1365206400,"04 6, 2013"
